"","K543R.bam","K544R.bam","K545L.bam","K546R.bam","V541L.bam","V542L.bam","V548L.bam","V550L.bam"
"ENSRNOG00000054743",0,0,0,0,0,0,0,0
"ENSRNOG00000057523",0,0,0,0,0,0,0,0
"ENSRNOG00000055060",0,0,0,0,0,0,0,0
"ENSRNOG00000059496",0,0,0,0,0,0,0,0
"ENSRNOG00000052722",0,0,0,0,0,0,0,0
"ENSRNOG00000056875",0,0,0,0,0,0,0,0
"ENSRNOG00000059838",0,1,0,0,0,0,0,1
"ENSRNOG00000054792",0,0,0,0,0,0,0,0
"ENSRNOG00000061445",0,0,0,0,0,0,0,0
"ENSRNOG00000060030",0,1,0,0,0,0,0,1
"ENSRNOG00000056852",0,0,0,0,0,0,0,0
"ENSRNOG00000059473",0,0,2,0,0,0,0,0
"ENSRNOG00000052538",0,0,0,0,0,0,0,0
"ENSRNOG00000059788",0,0,0,0,0,0,0,0
"ENSRNOG00000061800",0,0,0,0,0,0,0,0
"ENSRNOG00000058531",0,2,0,0,0,0,0,0
"ENSRNOG00000061343",0,0,0,0,0,0,0,0
"ENSRNOG00000060962",0,0,0,0,0,0,0,0
"ENSRNOG00000059327",0,0,0,0,0,0,0,0
"ENSRNOG00000053092",0,0,0,0,0,0,0,0
"ENSRNOG00000055440",0,0,0,0,0,0,0,0
"ENSRNOG00000059676",0,0,0,0,0,0,0,0
"ENSRNOG00000059934",0,0,0,0,0,0,0,0
"ENSRNOG00000058591",0,0,0,0,0,0,0,0
"ENSRNOG00000057205",0,0,0,0,0,0,0,0
"ENSRNOG00000055724",0,0,0,0,0,0,0,0
"ENSRNOG00000059524",0,0,0,0,0,0,0,0
"ENSRNOG00000058138",0,0,0,0,0,2,0,0
"ENSRNOG00000047696",0,0,0,0,0,0,0,0
"ENSRNOG00000038697",0,0,0,0,0,0,0,0
"ENSRNOG00000060481",0,0,0,0,0,0,0,0
"ENSRNOG00000059309",0,0,0,0,0,0,0,0
"ENSRNOG00000061124",0,0,0,0,0,0,0,0
"ENSRNOG00000061307",0,0,0,0,0,0,0,0
"ENSRNOG00000054032",0,0,0,0,0,0,0,0
"ENSRNOG00000052558",0,0,0,0,0,0,0,0
"ENSRNOG00000053842",0,0,0,0,0,0,0,0
"ENSRNOG00000061430",0,0,0,0,0,0,0,0
"ENSRNOG00000051593",0,0,0,0,0,0,0,0
"ENSRNOG00000058910",0,0,0,0,0,0,0,0
"ENSRNOG00000059608",2,0,0,0,8,0,1,0
"ENSRNOG00000054073",2388,2582,2371,2234,1921,1660,1668,1701
"ENSRNOG00000053358",1,0,0,3,16,6,4,10
"ENSRNOG00000051601",0,0,0,0,0,0,0,0
"ENSRNOG00000061194",0,0,0,1,0,0,4,0
"ENSRNOG00000051576",0,2,1,0,0,0,0,0
"ENSRNOG00000055116",0,1,1,7,2,6,2,1
"ENSRNOG00000059762",0,0,0,0,0,0,0,0
"ENSRNOG00000053966",0,0,0,0,0,0,0,0
"ENSRNOG00000058164",0,0,0,0,0,0,0,0
"ENSRNOG00000057034",0,7,0,3,13,16,10,16
"ENSRNOG00000061051",0,0,0,0,0,0,0,0
"ENSRNOG00000050219",0,0,0,0,0,0,0,0
"ENSRNOG00000050415",1,4,0,0,0,0,0,0
"ENSRNOG00000047759",0,2,0,0,0,2,0,0
"ENSRNOG00000047240",0,0,0,0,0,0,0,0
"ENSRNOG00000049100",0,0,0,0,0,0,0,0
"ENSRNOG00000050556",0,0,1,0,0,0,0,0
"ENSRNOG00000050352",0,0,0,0,0,1,0,0
"ENSRNOG00000049216",0,0,0,0,0,0,0,0
"ENSRNOG00000046102",0,0,0,0,0,0,0,1
"ENSRNOG00000048918",0,0,0,0,0,0,0,0
"ENSRNOG00000046092",0,0,0,0,0,0,0,0
"ENSRNOG00000047713",0,0,0,0,0,0,0,0
"ENSRNOG00000049058",0,0,0,0,0,0,0,0
"ENSRNOG00000050488",0,0,0,0,0,0,0,0
"ENSRNOG00000049262",0,0,0,0,0,0,0,0
"ENSRNOG00000046914",0,0,0,0,0,0,0,0
"ENSRNOG00000046737",0,0,0,0,0,0,0,0
"ENSRNOG00000048836",0,0,0,0,0,0,0,0
"ENSRNOG00000051750",0,0,0,0,0,0,0,0
"ENSRNOG00000061909",0,0,0,0,0,0,0,0
"ENSRNOG00000053918",0,0,0,0,0,0,0,0
"ENSRNOG00000060158",0,0,0,0,0,0,1,0
"ENSRNOG00000051822",0,0,0,0,0,0,1,0
"ENSRNOG00000055753",2,4,0,0,1,0,4,0
"ENSRNOG00000057005",0,0,0,0,0,2,9,0
"ENSRNOG00000057110",2381,2519,2348,2189,1867,1607,1637,1696
"ENSRNOG00000058831",0,0,0,0,0,2,0,0
"ENSRNOG00000052034",0,0,0,0,0,2,0,0
"ENSRNOG00000061649",0,0,0,0,0,0,0,0
"ENSRNOG00000060923",0,0,0,0,0,0,0,0
"ENSRNOG00000055495",0,0,0,0,0,0,0,0
"ENSRNOG00000053775",0,0,0,0,0,0,0,0
"ENSRNOG00000057940",0,0,0,0,0,0,0,0
"ENSRNOG00000054759",0,0,0,0,0,0,0,0
"ENSRNOG00000052930",0,0,0,0,0,0,0,0
"ENSRNOG00000058661",0,0,0,0,0,0,0,0
"ENSRNOG00000046685",0,0,0,0,0,0,0,1
"ENSRNOG00000049433",0,1,2,0,3,0,0,1
"ENSRNOG00000049846",1,2,1,0,1,1,0,1
"ENSRNOG00000045909",0,0,0,0,0,0,0,0
"ENSRNOG00000045916",1,0,0,0,0,0,0,0
"ENSRNOG00000047301",0,0,0,0,0,0,0,0
"ENSRNOG00000045763",0,0,0,0,0,0,0,0
"ENSRNOG00000048533",0,0,0,0,0,0,0,0
"ENSRNOG00000058845",0,0,0,0,0,0,0,0
"ENSRNOG00000010146",0,2,0,0,1,1,5,0
"ENSRNOG00000010158",12,8,7,7,14,5,10,9
"ENSRNOG00000010172",83,145,95,147,106,132,147,138
"ENSRNOG00000024429",0,0,0,1,0,0,0,1
"ENSRNOG00000051782",0,0,0,0,0,0,0,0
"ENSRNOG00000010853",59,65,38,42,35,50,78,62
"ENSRNOG00000061295",1,0,0,1,0,1,0,1
"ENSRNOG00000056061",0,0,0,0,0,0,0,0
"ENSRNOG00000029078",1619,2094,1368,1702,2086,1672,2112,3089
"ENSRNOG00000057334",2,1,5,0,0,0,1,1
"ENSRNOG00000015503",161,146,115,188,131,165,193,168
"ENSRNOG00000057921",0,0,0,0,0,0,0,0
"ENSRNOG00000015822",68,58,44,54,30,51,60,73
"ENSRNOG00000060733",0,0,0,0,0,0,0,0
"ENSRNOG00000015829",12,3,7,5,7,4,11,32
"ENSRNOG00000035648",0,0,0,0,0,0,0,0
"ENSRNOG00000049002",0,0,0,0,0,0,0,0
"ENSRNOG00000016090",798,848,813,886,820,724,840,1200
"ENSRNOG00000023985",234,318,288,307,260,269,298,260
"ENSRNOG00000016266",670,605,643,717,744,644,674,744
"ENSRNOG00000016327",143,185,158,186,204,164,192,176
"ENSRNOG00000016358",488,389,313,338,622,519,532,296
"ENSRNOG00000023496",0,0,0,0,0,0,0,0
"ENSRNOG00000016498",739,792,672,659,636,711,861,843
"ENSRNOG00000011077",1819,2336,1886,2034,1569,1765,1924,2000
"ENSRNOG00000053064",0,0,0,3,0,0,0,0
"ENSRNOG00000059925",0,0,0,0,0,0,0,0
"ENSRNOG00000024460",894,1156,743,1160,312,386,284,380
"ENSRNOG00000011290",178,196,156,194,145,129,135,137
"ENSRNOG00000056928",0,0,0,0,0,0,0,0
"ENSRNOG00000061645",0,0,0,0,0,0,0,0
"ENSRNOG00000011526",973,933,1044,1248,704,704,1225,1660
"ENSRNOG00000011932",605,737,484,616,669,559,580,712
"ENSRNOG00000012576",1129,1428,1096,1184,1154,1033,1120,1533
"ENSRNOG00000012698",144,155,143,156,199,163,134,247
"ENSRNOG00000012730",4,1,6,4,5,7,2,0
"ENSRNOG00000052070",0,1,1,0,0,0,3,1
"ENSRNOG00000013795",518,722,576,674,534,588,571,648
"ENSRNOG00000042776",166,203,163,231,250,219,260,282
"ENSRNOG00000013823",15,27,29,8,16,17,19,34
"ENSRNOG00000060823",0,0,0,0,0,0,0,0
"ENSRNOG00000037080",237,317,196,288,168,216,253,291
"ENSRNOG00000050624",345,383,351,343,315,298,406,356
"ENSRNOG00000047756",964,1212,1038,1172,960,1320,1364,1387
"ENSRNOG00000057496",0,0,0,0,0,0,0,0
"ENSRNOG00000023274",125,126,74,128,104,104,103,133
"ENSRNOG00000053158",0,0,0,0,0,0,0,0
"ENSRNOG00000013877",5,6,2,8,3,5,4,0
"ENSRNOG00000014030",100,101,57,54,94,115,110,43
"ENSRNOG00000014187",1388,1422,1201,1245,708,999,1534,1664
"ENSRNOG00000044576",1,0,0,0,0,0,2,0
"ENSRNOG00000058956",1,1,0,2,0,0,1,0
"ENSRNOG00000032310",3,1,0,0,0,0,1,0
"ENSRNOG00000022822",10,10,17,2,0,0,0,0
"ENSRNOG00000056064",1,5,0,1,6,2,0,1
"ENSRNOG00000049257",0,0,0,0,0,0,0,0
"ENSRNOG00000010775",2575,3283,2175,1958,2844,2691,3101,3063
"ENSRNOG00000057208",0,0,0,0,0,0,0,0
"ENSRNOG00000051696",0,0,0,0,0,0,0,0
"ENSRNOG00000054571",0,0,0,0,0,0,0,0
"ENSRNOG00000058019",0,0,0,0,0,0,0,0
"ENSRNOG00000059662",1,0,0,0,0,0,0,0
"ENSRNOG00000010308",238,289,276,325,339,326,356,283
"ENSRNOG00000053709",0,0,0,0,0,0,0,0
"ENSRNOG00000048904",803,907,797,760,599,519,554,679
"ENSRNOG00000054097",0,0,0,0,0,0,0,0
"ENSRNOG00000054010",0,0,0,0,0,0,0,0
"ENSRNOG00000055614",0,0,0,0,0,0,0,0
"ENSRNOG00000055864",0,0,0,0,0,0,0,0
"ENSRNOG00000051108",0,0,0,0,0,0,0,0
"ENSRNOG00000009932",70,107,48,159,42,80,108,89
"ENSRNOG00000051253",23,7,13,16,20,19,17,16
"ENSRNOG00000053587",0,0,0,0,0,0,0,0
"ENSRNOG00000051335",0,0,0,0,0,0,0,0
"ENSRNOG00000051332",0,0,0,0,0,0,0,0
"ENSRNOG00000048799",0,0,0,0,0,0,0,0
"ENSRNOG00000012874",52,72,41,34,91,78,61,59
"ENSRNOG00000012716",2076,2398,2179,1837,1600,1507,1651,1451
"ENSRNOG00000051039",377,504,477,476,399,366,364,420
"ENSRNOG00000051226",0,0,0,0,0,0,0,0
"ENSRNOG00000041447",0,0,0,0,0,0,0,2
"ENSRNOG00000051426",0,0,0,0,0,0,0,0
"ENSRNOG00000051102",45,65,53,67,96,65,116,112
"ENSRNOG00000012384",13,29,21,9,38,20,8,11
"ENSRNOG00000058004",27,32,18,33,12,41,27,23
"ENSRNOG00000012369",699,895,688,823,806,1030,883,1125
"ENSRNOG00000051304",234,287,171,243,289,298,292,341
"ENSRNOG00000012345",0,0,0,0,0,0,0,0
"ENSRNOG00000012031",200,326,321,254,115,242,278,273
"ENSRNOG00000059329",0,0,0,0,0,0,0,0
"ENSRNOG00000051333",0,0,0,0,0,0,0,0
"ENSRNOG00000032798",2205,2540,2137,2149,2107,1987,2292,2845
"ENSRNOG00000053689",0,0,0,0,0,0,0,0
"ENSRNOG00000060667",6,1,2,1,3,1,6,2
"ENSRNOG00000051176",0,0,0,0,0,0,0,0
"ENSRNOG00000051334",0,4,0,2,1,0,1,2
"ENSRNOG00000057892",0,0,0,0,0,0,0,0
"ENSRNOG00000056986",0,0,0,0,0,0,0,0
"ENSRNOG00000011160",3,4,9,6,17,17,5,3
"ENSRNOG00000057041",0,0,0,0,0,0,0,0
"ENSRNOG00000010964",1426,1655,1460,1371,1291,1431,1625,1639
"ENSRNOG00000010959",136,180,161,187,204,208,199,234
"ENSRNOG00000022610",0,0,0,0,0,0,0,0
"ENSRNOG00000060303",0,0,0,0,0,0,0,0
"ENSRNOG00000057436",0,0,0,0,0,0,0,0
"ENSRNOG00000018674",814,922,684,720,585,811,749,676
"ENSRNOG00000018547",311,364,297,398,365,316,321,376
"ENSRNOG00000018531",503,605,499,539,631,536,543,636
"ENSRNOG00000018515",134,185,125,179,176,160,132,159
"ENSRNOG00000035477",16,18,19,18,13,12,14,12
"ENSRNOG00000018421",715,718,587,780,636,632,705,593
"ENSRNOG00000054561",553,816,705,859,763,709,840,1727
"ENSRNOG00000028992",3,1,1,1,3,0,8,59
"ENSRNOG00000022321",16,19,22,14,19,14,21,16
"ENSRNOG00000017510",277,288,322,408,278,278,319,265
"ENSRNOG00000017120",2232,2397,2329,2206,1247,2197,2037,2645
"ENSRNOG00000057415",0,1,3,0,1,5,1,0
"ENSRNOG00000054807",6,5,3,4,0,2,3,3
"ENSRNOG00000016897",10,5,7,8,17,14,20,12
"ENSRNOG00000016689",757,866,670,557,849,813,1158,1054
"ENSRNOG00000032293",1255,1348,1053,1349,1226,1209,1442,1437
"ENSRNOG00000054325",0,0,0,0,0,0,0,0
"ENSRNOG00000030679",14,5,4,6,4,8,15,7
"ENSRNOG00000031802",391,548,470,471,596,497,461,641
"ENSRNOG00000035580",0,0,0,0,1,0,0,0
"ENSRNOG00000015526",4,2,3,1,0,0,5,0
"ENSRNOG00000015520",262,285,204,155,266,254,413,472
"ENSRNOG00000026857",285,381,292,300,302,390,382,206
"ENSRNOG00000015367",0,0,0,0,0,0,0,0
"ENSRNOG00000015086",3,5,6,4,2,1,1,2
"ENSRNOG00000015003",165,179,192,195,187,180,196,210
"ENSRNOG00000026514",9,17,12,13,31,18,19,30
"ENSRNOG00000034206",1,1,1,0,5,6,1,3
"ENSRNOG00000014951",3,1,2,1,1,10,3,11
"ENSRNOG00000014925",56,72,42,55,51,69,81,86
"ENSRNOG00000014610",94,140,92,138,122,149,153,147
"ENSRNOG00000043141",609,804,558,707,899,685,781,926
"ENSRNOG00000014589",462,488,480,460,454,536,653,646
"ENSRNOG00000060197",8,12,7,2,13,15,9,10
"ENSRNOG00000041999",0,0,0,0,0,0,0,0
"ENSRNOG00000014278",252,284,242,297,316,299,352,314
"ENSRNOG00000047565",364,428,375,410,463,419,491,512
"ENSRNOG00000047000",236,267,211,242,266,247,224,292
"ENSRNOG00000013949",2164,2734,1975,2728,2350,2216,2634,2487
"ENSRNOG00000056324",53,58,58,62,66,76,52,56
"ENSRNOG00000061327",4,10,12,4,5,1,6,9
"ENSRNOG00000025167",938,1023,987,972,873,931,1160,1035
"ENSRNOG00000033498",342,450,345,410,442,414,461,490
"ENSRNOG00000025003",95,94,103,123,86,72,125,140
"ENSRNOG00000056362",431,546,461,542,187,290,287,193
"ENSRNOG00000013553",716,839,746,860,734,645,721,643
"ENSRNOG00000013149",480,532,431,465,465,503,447,515
"ENSRNOG00000013057",1746,2019,1524,709,2807,2527,3518,3557
"ENSRNOG00000042059",81,77,55,79,106,58,78,66
"ENSRNOG00000012357",1218,1330,1150,1433,1577,1390,1452,1517
"ENSRNOG00000058477",0,2,0,0,0,1,1,0
"ENSRNOG00000012236",498,501,438,544,526,498,483,435
"ENSRNOG00000012055",2657,2969,2344,2466,2186,2377,2978,2506
"ENSRNOG00000011683",7,12,16,13,13,3,6,3
"ENSRNOG00000011352",2513,2927,2536,3192,1913,2076,2442,2229
"ENSRNOG00000011213",492,504,432,411,458,424,574,537
"ENSRNOG00000011975",309,388,293,347,322,358,379,383
"ENSRNOG00000061889",1,1,1,5,2,0,0,1
"ENSRNOG00000012002",8586,9917,7678,8693,7285,7674,9594,11361
"ENSRNOG00000022164",90,129,107,110,107,101,130,87
"ENSRNOG00000010664",230,232,180,300,206,217,240,223
"ENSRNOG00000011011",5,2,1,2,3,4,4,4
"ENSRNOG00000011029",1896,2433,1887,1958,2343,2256,2217,2750
"ENSRNOG00000060206",833,1085,983,1139,899,920,1242,1071
"ENSRNOG00000011659",0,4,4,0,1,1,1,1
"ENSRNOG00000060573",0,0,0,0,0,0,0,0
"ENSRNOG00000018940",0,1,0,0,0,0,0,0
"ENSRNOG00000019005",337,320,201,287,279,301,347,397
"ENSRNOG00000051409",0,0,0,0,0,1,0,0
"ENSRNOG00000019106",1903,2278,1922,2597,2085,2037,1931,1958
"ENSRNOG00000019161",618,641,513,659,548,635,591,277
"ENSRNOG00000019249",4122,4814,3997,4245,4479,3888,4203,3447
"ENSRNOG00000036981",12,19,11,9,6,7,12,5
"ENSRNOG00000055316",1,0,0,1,3,1,2,3
"ENSRNOG00000044894",0,0,0,0,0,0,0,0
"ENSRNOG00000019278",0,2,0,0,1,1,2,0
"ENSRNOG00000053477",0,0,0,0,0,0,0,0
"ENSRNOG00000054102",0,0,0,0,0,0,0,0
"ENSRNOG00000028113",240,276,264,300,319,331,298,346
"ENSRNOG00000061450",90,106,108,67,81,97,144,134
"ENSRNOG00000060363",0,0,0,0,0,0,0,0
"ENSRNOG00000019426",203,319,291,333,363,347,321,369
"ENSRNOG00000052273",342,466,404,453,439,424,503,534
"ENSRNOG00000019529",1775,2253,1809,2107,1936,2122,2236,1879
"ENSRNOG00000055017",0,0,0,0,0,0,0,0
"ENSRNOG00000019662",469,563,574,399,398,446,415,473
"ENSRNOG00000019740",953,1143,984,809,796,831,961,964
"ENSRNOG00000019770",7,0,0,0,1,1,0,0
"ENSRNOG00000019776",258,285,230,226,248,199,253,179
"ENSRNOG00000010840",4,5,10,3,2,1,4,2
"ENSRNOG00000026296",36,36,43,15,21,11,18,3
"ENSRNOG00000032723",388,495,424,543,463,466,526,615
"ENSRNOG00000059239",0,0,0,0,0,0,0,0
"ENSRNOG00000042010",0,0,0,0,0,0,0,0
"ENSRNOG00000025142",252,407,350,390,452,413,439,355
"ENSRNOG00000044405",0,0,0,0,0,0,0,0
"ENSRNOG00000054650",0,0,0,0,0,0,0,0
"ENSRNOG00000059905",0,0,0,0,0,0,0,0
"ENSRNOG00000058913",0,0,0,0,0,0,0,0
"ENSRNOG00000025088",3,0,0,3,2,4,0,12
"ENSRNOG00000025052",881,1179,935,1157,791,806,750,644
"ENSRNOG00000011680",36,59,51,39,38,13,25,24
"ENSRNOG00000012301",7,28,23,25,19,11,17,19
"ENSRNOG00000012349",460,516,431,523,591,574,751,726
"ENSRNOG00000012366",1303,1688,1309,1466,1577,1492,1653,1472
"ENSRNOG00000012442",52,73,25,25,33,37,28,13
"ENSRNOG00000012683",1815,2254,1890,2426,2053,1951,2083,2360
"ENSRNOG00000056856",0,0,0,0,0,0,0,0
"ENSRNOG00000055810",0,0,0,0,0,0,0,3
"ENSRNOG00000013017",565,610,466,528,545,534,704,530
"ENSRNOG00000013223",44,34,27,74,37,39,41,39
"ENSRNOG00000013506",2191,3055,2451,2862,2850,2437,2809,2579
"ENSRNOG00000061807",0,1,0,0,0,0,0,0
"ENSRNOG00000041552",0,0,0,0,0,0,0,0
"ENSRNOG00000047724",48,51,44,65,16,22,18,38
"ENSRNOG00000050177",3,8,1,6,1,2,3,3
"ENSRNOG00000047630",5,7,1,8,9,7,13,0
"ENSRNOG00000037327",335,389,267,443,379,368,400,502
"ENSRNOG00000047110",5,7,1,7,6,7,12,0
"ENSRNOG00000048244",11,14,3,7,5,7,4,6
"ENSRNOG00000046157",47,51,44,64,16,21,18,38
"ENSRNOG00000060631",0,0,0,0,0,0,0,0
"ENSRNOG00000057535",0,0,0,0,0,0,0,0
"ENSRNOG00000056445",0,0,0,0,0,0,0,0
"ENSRNOG00000056733",0,0,0,0,0,0,0,0
"ENSRNOG00000057423",0,0,0,0,0,0,0,2
"ENSRNOG00000059330",24,44,39,47,51,31,34,35
"ENSRNOG00000046080",0,0,0,1,0,0,0,0
"ENSRNOG00000054930",3,6,2,1,0,1,0,1
"ENSRNOG00000024016",6,12,4,16,0,0,2,0
"ENSRNOG00000061221",0,0,0,0,0,0,0,1
"ENSRNOG00000054509",0,0,0,0,0,0,0,0
"ENSRNOG00000021405",11,11,8,18,14,6,6,4
"ENSRNOG00000053009",0,0,0,0,0,0,0,0
"ENSRNOG00000054181",1048,1327,1142,1448,992,916,1199,1137
"ENSRNOG00000050401",410,579,434,466,576,505,503,463
"ENSRNOG00000061860",0,0,0,0,0,0,0,0
"ENSRNOG00000049285",0,0,0,0,0,0,0,0
"ENSRNOG00000043159",0,0,0,0,0,0,0,0
"ENSRNOG00000028804",0,0,0,0,0,0,0,0
"ENSRNOG00000013563",0,0,0,0,0,0,0,0
"ENSRNOG00000033009",0,0,0,0,0,0,0,0
"ENSRNOG00000032371",0,0,0,0,0,0,0,0
"ENSRNOG00000050901",0,0,0,0,0,0,0,0
"ENSRNOG00000055974",0,0,0,0,0,0,0,0
"ENSRNOG00000057764",0,0,0,0,0,0,0,0
"ENSRNOG00000013739",0,0,0,0,0,0,0,0
"ENSRNOG00000054697",0,0,0,0,0,0,0,0
"ENSRNOG00000052842",0,0,0,0,0,0,0,0
"ENSRNOG00000052361",0,0,0,0,0,0,0,0
"ENSRNOG00000053877",0,0,0,0,0,0,0,0
"ENSRNOG00000031741",0,0,0,0,0,0,0,0
"ENSRNOG00000013711",0,0,0,0,0,0,0,0
"ENSRNOG00000032077",0,0,0,0,0,0,0,0
"ENSRNOG00000045648",0,0,0,0,0,0,0,0
"ENSRNOG00000046392",0,0,0,0,0,0,0,0
"ENSRNOG00000050054",0,0,0,0,0,0,0,0
"ENSRNOG00000046609",0,0,0,0,0,0,0,0
"ENSRNOG00000050559",0,0,0,0,0,0,0,0
"ENSRNOG00000056144",0,0,0,0,0,0,0,0
"ENSRNOG00000029233",0,0,0,0,0,0,0,0
"ENSRNOG00000049938",0,0,0,0,0,0,0,0
"ENSRNOG00000030554",0,0,0,0,0,0,0,0
"ENSRNOG00000013770",0,0,0,0,0,0,0,0
"ENSRNOG00000033507",0,0,0,0,0,0,0,0
"ENSRNOG00000061725",0,0,0,0,0,0,0,0
"ENSRNOG00000013925",8,16,14,5,16,2,11,7
"ENSRNOG00000016421",0,0,0,0,0,0,0,0
"ENSRNOG00000054332",0,0,0,0,0,0,0,0
"ENSRNOG00000058465",0,0,0,0,0,0,0,0
"ENSRNOG00000053971",0,0,0,0,0,0,0,0
"ENSRNOG00000051996",0,0,0,0,0,0,0,0
"ENSRNOG00000016429",0,0,0,0,1,1,0,0
"ENSRNOG00000016496",78,91,101,68,106,75,117,125
"ENSRNOG00000055346",0,0,0,0,0,0,0,0
"ENSRNOG00000057950",0,0,0,0,0,0,0,0
"ENSRNOG00000016769",0,0,0,0,0,0,0,0
"ENSRNOG00000016815",617,748,680,805,619,656,813,802
"ENSRNOG00000058110",0,0,0,0,0,0,0,0
"ENSRNOG00000056844",0,0,0,0,0,0,0,0
"ENSRNOG00000016848",121,150,138,101,105,118,205,110
"ENSRNOG00000017307",309,494,316,485,367,354,424,542
"ENSRNOG00000050403",0,0,0,0,0,0,0,0
"ENSRNOG00000017311",70,111,76,103,71,71,76,135
"ENSRNOG00000033733",4,5,6,3,3,4,2,3
"ENSRNOG00000022941",0,0,0,1,0,0,0,0
"ENSRNOG00000036296",0,0,0,0,0,0,0,0
"ENSRNOG00000017383",246,321,241,395,364,365,366,404
"ENSRNOG00000017509",446,493,448,497,617,563,559,603
"ENSRNOG00000062120",18,32,11,12,15,17,9,9
"ENSRNOG00000018322",5218,6457,5511,5552,5544,5460,6723,6634
"ENSRNOG00000052220",0,0,2,0,0,0,0,0
"ENSRNOG00000030776",21,16,14,16,22,15,19,18
"ENSRNOG00000022766",7,9,9,15,5,9,8,5
"ENSRNOG00000058731",0,0,0,0,1,0,0,0
"ENSRNOG00000054312",0,0,0,0,0,0,0,0
"ENSRNOG00000056160",0,0,0,0,1,0,0,0
"ENSRNOG00000051568",0,0,0,0,0,0,0,0
"ENSRNOG00000061395",0,0,0,0,0,0,0,0
"ENSRNOG00000022732",355,466,344,413,351,352,462,481
"ENSRNOG00000022748",512,551,463,617,507,464,476,502
"ENSRNOG00000018987",993,1244,1083,1065,859,1037,1052,1032
"ENSRNOG00000048071",14,17,17,16,9,12,13,8
"ENSRNOG00000049878",18,10,7,8,9,11,7,13
"ENSRNOG00000059114",0,0,0,0,0,0,0,0
"ENSRNOG00000022635",285,349,265,248,155,238,242,222
"ENSRNOG00000009462",430,533,386,530,599,532,604,656
"ENSRNOG00000009664",129,173,158,255,174,172,170,129
"ENSRNOG00000009891",1318,1551,1448,1418,1330,1317,1388,1119
"ENSRNOG00000061302",0,0,0,0,0,0,0,0
"ENSRNOG00000010224",35,32,40,68,20,38,34,58
"ENSRNOG00000022521",137,148,81,82,151,172,221,260
"ENSRNOG00000056990",0,0,0,0,0,0,0,0
"ENSRNOG00000010630",193,213,171,182,200,187,269,228
"ENSRNOG00000010769",0,0,0,0,0,0,0,0
"ENSRNOG00000010763",1,0,0,0,2,6,1,0
"ENSRNOG00000060119",0,0,0,0,0,0,0,0
"ENSRNOG00000053994",0,0,0,0,0,0,0,0
"ENSRNOG00000046332",0,0,0,0,0,0,0,0
"ENSRNOG00000052460",2,0,0,0,0,0,0,0
"ENSRNOG00000053655",0,0,0,0,0,0,0,0
"ENSRNOG00000041624",0,0,0,0,0,0,0,0
"ENSRNOG00000054388",0,0,0,0,0,0,0,0
"ENSRNOG00000040447",0,0,0,0,0,0,0,0
"ENSRNOG00000045706",0,0,0,0,0,0,0,0
"ENSRNOG00000011151",185,166,122,92,66,104,133,148
"ENSRNOG00000044605",0,0,0,0,0,0,0,0
"ENSRNOG00000057140",0,0,0,0,0,0,0,0
"ENSRNOG00000011476",118,148,119,172,126,167,186,164
"ENSRNOG00000011882",401,513,486,464,278,369,406,438
"ENSRNOG00000024961",205,309,252,278,322,290,257,291
"ENSRNOG00000024793",111,160,163,223,218,199,239,314
"ENSRNOG00000012292",520,680,552,622,658,460,627,650
"ENSRNOG00000012383",1533,1851,1573,1720,1617,1397,1607,1887
"ENSRNOG00000012404",0,0,0,0,0,1,0,0
"ENSRNOG00000012494",65,80,64,50,103,109,83,143
"ENSRNOG00000012552",857,1008,765,1062,1002,1033,1121,1357
"ENSRNOG00000012584",25,42,31,22,25,13,26,49
"ENSRNOG00000024194",931,1336,1004,1086,949,990,1085,1215
"ENSRNOG00000012788",795,1015,813,1032,980,845,975,1125
"ENSRNOG00000013358",33,38,33,45,41,39,49,52
"ENSRNOG00000060876",0,0,2,0,0,0,0,0
"ENSRNOG00000029784",413,583,384,457,514,453,578,562
"ENSRNOG00000028470",5,11,4,8,3,4,3,5
"ENSRNOG00000013641",5,1,4,3,1,2,8,10
"ENSRNOG00000014251",439,509,439,584,447,522,623,544
"ENSRNOG00000014471",0,1,0,0,0,0,0,0
"ENSRNOG00000036866",535,572,618,509,583,511,546,578
"ENSRNOG00000027784",70,50,53,73,89,110,71,88
"ENSRNOG00000015058",0,5,2,0,2,4,2,1
"ENSRNOG00000015310",1,0,0,0,0,0,0,0
"ENSRNOG00000057308",0,0,0,0,0,0,0,0
"ENSRNOG00000055477",0,0,0,0,0,0,0,0
"ENSRNOG00000056551",0,1,1,0,1,2,4,0
"ENSRNOG00000015560",744,946,855,915,624,644,785,798
"ENSRNOG00000053923",1099,1286,1071,1210,1040,980,1363,1401
"ENSRNOG00000015982",5,4,2,3,5,4,3,6
"ENSRNOG00000042782",0,0,0,0,0,0,0,0
"ENSRNOG00000016206",884,990,910,969,782,833,974,795
"ENSRNOG00000058651",1,0,0,0,3,0,1,0
"ENSRNOG00000016573",156,183,176,197,108,117,117,104
"ENSRNOG00000027228",0,0,0,0,0,0,0,0
"ENSRNOG00000027204",403,437,441,433,384,446,393,314
"ENSRNOG00000016831",35,15,14,17,24,22,50,26
"ENSRNOG00000036859",26,35,24,24,35,40,39,21
"ENSRNOG00000017365",2,2,1,0,5,3,5,1
"ENSRNOG00000017418",6908,9312,7135,9170,8047,6999,8403,7208
"ENSRNOG00000055569",8,12,8,2,3,9,6,1
